shardID,t,queueSize
27,2.0031518936157227,110
28,2.0032713413238525,147
12,2.00305438041687,27
24,2.0031144618988037,3
5,2.0033798217773438,226
7,2.003330707550049,44
32,2.003267526626587,72
0,2.0029070377349854,23
14,2.003366231918335,305
25,2.0037789344787598,77
11,2.003601551055908,75
26,2.0043792724609375,388
17,2.0045697689056396,0
31,2.0043749809265137,63
19,2.0047569274902344,1
39,2.0040507316589355,59
29,2.003988742828369,103
38,2.004302978515625,206
15,2.0051486492156982,228
45,2.0074849128723145,121
49,2.0085387229919434,120
51,2.0110321044921875,201
20,2.003397226333618,56
37,2.0032005310058594,2
50,2.0210628509521484,118
23,2.0037546157836914,3
52,2.0264053344726562,165
42,2.025623083114624,99
46,2.0462992191314697,332
53,2.0504209995269775,123
47,2.0354042053222656,37
35,2.0551228523254395,0
55,2.0597312450408936,186
41,2.06174373626709,66
54,2.069413661956787,75
34,2.1235501766204834,97
44,2.144352912902832,146
30,3.002000331878662,38
13,3.00278902053833,58
22,3.002697467803955,2
2,3.002694845199585,73
3,3.002913236618042,43
32,3.0036232471466064,72
36,3.002622127532959,9
18,3.0038890838623047,1
6,3.002809524536133,40
1,3.0031352043151855,60
4,3.0035126209259033,53
48,3.003384590148926,126
0,3.0037550926208496,30
12,3.0036981105804443,47
40,3.003838539123535,106
8,3.00313663482666,203
33,3.004157304763794,20
43,3.0034749507904053,111
27,3.003857135772705,76
9,3.0042994022369385,61
7,3.004225492477417,111
14,3.0042598247528076,332
23,3.0048601627349854,5
16,3.0034873485565186,1
21,3.0040884017944336,2
37,3.0042619705200195,1
38,3.005201816558838,140
11,3.004911422729492,56
25,3.0038340091705322,55
31,3.005176305770874,11
5,3.0045273303985596,234
17,3.0053398609161377,0
10,3.004390239715576,38
29,3.0050902366638184,50
26,3.005171537399292,500
20,3.0046613216400146,44
24,3.005100965499878,8
39,3.0050859451293945,101
28,3.005056381225586,116
19,3.005842924118042,0
15,3.006941318511963,237
49,3.0102994441986084,67
45,3.008312225341797,219
50,3.0219056606292725,182
47,3.036630153656006,81
53,3.0520453453063965,204
55,3.060344934463501,145
52,3.0635788440704346,175
41,3.0769879817962646,26
46,3.058090925216675,550
54,3.0924136638641357,144
51,3.024144411087036,294
42,3.0267157554626465,159
35,3.166339635848999,14
44,3.233515739440918,91
34,3.2103850841522217,121
36,4.003092527389526,23
2,4.003727436065674,25
30,4.002902269363403,0
6,4.003134250640869,0
22,4.003465414047241,1
8,4.004018306732178,168
1,4.004317760467529,0
25,4.004235029220581,20
0,4.004449367523193,0
32,4.005037546157837,42
27,4.004410028457642,34
43,4.004489898681641,195
16,4.004720449447632,0
48,4.004384517669678,167
18,4.004477262496948,0
10,4.004869699478149,0
12,4.005331039428711,0
38,4.005906820297241,205
5,4.004732847213745,210
40,4.004963397979736,46
11,4.005599021911621,37
21,4.005203723907471,0
23,4.0064537525177,0
14,4.006432294845581,306
4,4.005976676940918,0
17,4.00676703453064,0
33,4.006062746047974,67
26,4.0061540603637695,629
39,4.00615119934082,53
24,4.00716757774353,0
19,4.007616758346558,0
15,4.007981061935425,212
20,4.007843255996704,0
9,4.007617473602295,0
3,4.008771181106567,0
45,4.008737802505493,197
7,4.0103724002838135,201
31,4.014031887054443,1
37,4.013739824295044,0
29,4.01407265663147,25
